split,source_image_member,processed_image,class_id,class_name,source_geometry,x1,y1,x2,y2,x_center_norm,y_center_norm,width_norm,height_norm,bbox_area_ratio
train,Training/images/고철류/고철/12_X001_C024_1123/12_X001_C024_1123_1.jpg,12_X001_C024_1123_1.jpg,0,고철류/고철,BOX,86.0,379.0,1798.0,771.0,0.490625,0.5324074074074074,0.8916666666666667,0.362962962962963,0.32364197530864197
train,Training/images/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.jpg,12_X002_C023_1211_4.jpg,0,고철류/고철,BOX,279.0,532.0,945.0,823.0,0.31875,0.6273148148148148,0.346875,0.26944444444444443,0.09346354166666666
train,Training/images/고철류/고철/12_X002_C023_1211/12_X002_C023_1211_4.jpg,12_X002_C023_1211_4.jpg,0,고철류/고철,BOX,1027.0,401.0,1623.0,692.0,0.6901041666666666,0.5060185185185185,0.3104166666666667,0.26944444444444443,0.0836400462962963
train,Training/images/고철류/고철/12_X003_C044_1105/12_X003_C044_1105_0.jpg,12_X003_C044_1105_0.jpg,0,고철류/고철,POLYGON->BOX,339.0,734.0,3327.0,1964.0,0.45461309523809523,0.4460978835978836,0.7410714285714286,0.40674603174603174,0.3014278628117914
train,Training/images/고철류/고철/12_X004_C055_1027/12_X004_C055_1027_4.jpg,12_X004_C055_1027_4.jpg,0,고철류/고철,BOX,687.0,198.0,1452.0,867.0,0.55703125,0.3697916666666667,0.3984375,0.46458333333333335,0.185107421875
train,Training/images/고철류/고철/12_X006_C195_1117/12_X006_C195_1117_3.jpg,12_X006_C195_1117_3.jpg,0,고철류/고철,BOX,781.0,279.0,1258.0,1012.0,0.5309895833333333,0.4482638888888889,0.2484375,0.5090277777777777,0.12646158854166667
train,Training/images/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.jpg,12_X009_C024_1214_5.jpg,0,고철류/고철,BOX,767.0,197.0,1239.0,514.0,0.5223958333333333,0.32916666666666666,0.24583333333333332,0.2935185185185185,0.07215663580246913
train,Training/images/고철류/고철/12_X009_C024_1214/12_X009_C024_1214_5.jpg,12_X009_C024_1214_5.jpg,0,고철류/고철,BOX,748.0,591.0,1356.0,1002.0,0.5479166666666667,0.7375,0.31666666666666665,0.38055555555555554,0.12050925925925926
train,Training/images/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.jpg,12_X010_C193_1208_4.jpg,0,고철류/고철,BOX,396.0,218.0,954.0,486.0,0.3515625,0.24444444444444444,0.290625,0.18611111111111112,0.05408854166666666
train,Training/images/고철류/고철/12_X010_C193_1208/12_X010_C193_1208_4.jpg,12_X010_C193_1208_4.jpg,0,고철류/고철,BOX,1065.0,268.0,1711.0,515.0,0.7229166666666667,0.271875,0.33645833333333336,0.17152777777777778,0.057711950231481485
